Video,Config,Frame_Index,MSE
01_ideal_motion.mp4,V5 Hybrid Arena,0,0.0000
01_ideal_motion.mp4,V5 Hybrid Arena,1,0.3139
01_ideal_motion.mp4,V5 Hybrid Arena,2,1.0060
01_ideal_motion.mp4,V5 Hybrid Arena,3,0.8400
01_ideal_motion.mp4,V5 Hybrid Arena,4,1.0832
01_ideal_motion.mp4,V5 Hybrid Arena,5,1.8830
01_ideal_motion.mp4,V5 Hybrid Arena,6,1.3990
01_ideal_motion.mp4,V5 Hybrid Arena,7,1.6433
01_ideal_motion.mp4,V5 Hybrid Arena,8,1.9209
01_ideal_motion.mp4,V5 Hybrid Arena,9,1.8160
01_ideal_motion.mp4,V5 Hybrid Arena,10,1.5938
01_ideal_motion.mp4,V5 Hybrid Arena,11,1.7479
01_ideal_motion.mp4,V5 Hybrid Arena,12,1.5172
01_ideal_motion.mp4,V5 Hybrid Arena,13,1.6715
01_ideal_motion.mp4,V5 Hybrid Arena,14,1.4056
01_ideal_motion.mp4,V5 Hybrid Arena,15,1.8923
01_ideal_motion.mp4,V5 Hybrid Arena,16,1.5184
01_ideal_motion.mp4,V5 Hybrid Arena,17,1.5990
01_ideal_motion.mp4,V5 Hybrid Arena,18,1.7177
01_ideal_motion.mp4,V5 Hybrid Arena,19,1.5748
01_ideal_motion.mp4,V5 Hybrid Arena,20,1.2578
01_ideal_motion.mp4,V5 Hybrid Arena,21,1.5973
01_ideal_motion.mp4,V5 Hybrid Arena,22,1.4159
01_ideal_motion.mp4,V5 Hybrid Arena,23,1.5213
01_ideal_motion.mp4,V5 Hybrid Arena,24,1.5108
01_ideal_motion.mp4,V5 Hybrid Arena,25,1.6872
01_ideal_motion.mp4,V5 Hybrid Arena,26,1.4839
01_ideal_motion.mp4,V5 Hybrid Arena,27,1.5721
01_ideal_motion.mp4,V5 Hybrid Arena,28,1.3680
01_ideal_motion.mp4,V5 Hybrid Arena,29,1.4884
01_ideal_motion.mp4,V5 Hybrid Arena,30,1.2553
01_ideal_motion.mp4,V5 Hybrid Arena,31,1.5933
