Video,Algorithm,Orig Size (KB),Encoded (KB),Ratio,MSE,Skip%,IBC%,Mot%,Pal%,Spat%
01_ideal_motion.mp4,V3 Baseline (Spatial),81.27,241.35,2.970x,3.72,96.6%,0.0%,0.0%,0.0%,3.4%
01_ideal_motion.mp4,V3 Inter (Deep Motion),81.27,125.89,1.549x,3.09,97.8%,0.0%,1.4%,0.0%,0.7%
01_ideal_motion.mp4,V3 Intra (IBC),81.27,228.15,2.807x,3.46,97.1%,0.1%,0.0%,0.0%,2.8%
01_ideal_motion.mp4,V3 Hybrid (All Modes),81.27,128.68,1.583x,3.55,97.9%,0.1%,1.3%,0.2%,0.6%
02_ideal_cache.mp4,V3 Baseline (Spatial),73.66,125.17,1.699x,0.67,98.1%,0.0%,0.0%,0.0%,1.9%
02_ideal_cache.mp4,V3 Inter (Deep Motion),73.66,97.51,1.324x,0.61,98.0%,0.0%,1.7%,0.0%,0.2%
02_ideal_cache.mp4,V3 Intra (IBC),73.66,103.29,1.402x,0.75,98.9%,0.3%,0.0%,0.0%,0.9%
02_ideal_cache.mp4,V3 Hybrid (All Modes),73.66,90.93,1.234x,0.37,99.0%,0.3%,0.5%,0.0%,0.1%
03_ideal_palette.mp4,V3 Baseline (Spatial),72.55,79.71,1.099x,0.06,100.0%,0.0%,0.0%,0.0%,0.0%
03_ideal_palette.mp4,V3 Inter (Deep Motion),72.55,79.71,1.099x,0.06,100.0%,0.0%,0.0%,0.0%,0.0%
03_ideal_palette.mp4,V3 Intra (IBC),72.55,79.71,1.099x,0.06,100.0%,0.0%,0.0%,0.0%,0.0%
03_ideal_palette.mp4,V3 Hybrid (All Modes),72.55,79.71,1.099x,0.06,100.0%,0.0%,0.0%,0.0%,0.0%
04_ideal_baseline.mp4,V3 Baseline (Spatial),268.01,9.35,0.035x,0.01,100.0%,0.0%,0.0%,0.0%,0.0%
04_ideal_baseline.mp4,V3 Inter (Deep Motion),268.01,9.35,0.035x,0.01,100.0%,0.0%,0.0%,0.0%,0.0%
04_ideal_baseline.mp4,V3 Intra (IBC),268.01,9.35,0.035x,0.01,100.0%,0.0%,0.0%,0.0%,0.0%
04_ideal_baseline.mp4,V3 Hybrid (All Modes),268.01,9.35,0.035x,0.01,100.0%,0.0%,0.0%,0.0%,0.0%
05_break_entropy.mp4,V3 Baseline (Spatial),7430.28,15641.06,2.105x,0.00,0.0%,0.0%,0.0%,0.0%,0.0%
05_break_entropy.mp4,V3 Inter (Deep Motion),7430.28,15641.06,2.105x,0.00,0.0%,0.0%,0.0%,0.0%,0.0%
05_break_entropy.mp4,V3 Intra (IBC),7430.28,15641.06,2.105x,0.00,0.0%,0.0%,0.0%,0.0%,0.0%
05_break_entropy.mp4,V3 Hybrid (All Modes),7430.28,15641.06,2.105x,0.00,0.0%,0.0%,0.0%,0.0%,0.0%
06_break_jitter.mp4,V3 Baseline (Spatial),97.41,161.39,1.657x,1.12,96.5%,0.0%,0.0%,0.0%,3.5%
06_break_jitter.mp4,V3 Inter (Deep Motion),97.41,92.73,0.952x,0.94,96.4%,0.0%,3.5%,0.0%,0.1%
06_break_jitter.mp4,V3 Intra (IBC),97.41,107.26,1.101x,1.14,96.5%,2.8%,0.0%,0.0%,0.7%
06_break_jitter.mp4,V3 Hybrid (All Modes),97.41,92.51,0.950x,0.94,96.4%,2.8%,0.7%,0.0%,0.1%
07_break_fade.mp4,V3 Baseline (Spatial),73.25,175.36,2.394x,3.34,97.0%,0.0%,0.0%,0.0%,3.0%
07_break_fade.mp4,V3 Inter (Deep Motion),73.25,103.15,1.408x,4.34,98.0%,0.0%,1.7%,0.0%,0.3%
07_break_fade.mp4,V3 Intra (IBC),73.25,154.04,2.103x,3.34,98.0%,0.1%,0.0%,0.0%,1.8%
07_break_fade.mp4,V3 Hybrid (All Modes),73.25,103.67,1.415x,4.38,98.0%,0.2%,1.5%,0.0%,0.3%
08_break_moire.mp4,V3 Baseline (Spatial),713.31,75.88,0.106x,0.91,100.0%,0.0%,0.0%,0.0%,0.0%
08_break_moire.mp4,V3 Inter (Deep Motion),713.31,75.88,0.106x,0.91,100.0%,0.0%,0.0%,0.0%,0.0%
08_break_moire.mp4,V3 Intra (IBC),713.31,75.88,0.106x,0.91,100.0%,0.0%,0.0%,0.0%,0.0%
08_break_moire.mp4,V3 Hybrid (All Modes),713.31,75.88,0.106x,0.91,100.0%,0.0%,0.0%,0.0%,0.0%
09_scaling_ui.mp4,V3 Baseline (Spatial),102.86,162.53,1.580x,4.35,96.5%,0.0%,0.0%,0.0%,3.5%
09_scaling_ui.mp4,V3 Inter (Deep Motion),102.86,96.43,0.937x,7.44,97.9%,0.0%,1.6%,0.0%,0.5%
09_scaling_ui.mp4,V3 Intra (IBC),102.86,139.53,1.357x,4.35,96.6%,1.0%,0.0%,0.0%,2.4%
09_scaling_ui.mp4,V3 Hybrid (All Modes),102.86,93.16,0.906x,7.49,97.9%,0.9%,0.9%,0.1%,0.2%
ball.mp4,V3 Baseline (Spatial),102.00,1457.32,14.288x,2.27,96.2%,0.0%,0.0%,0.0%,3.8%
ball.mp4,V3 Inter (Deep Motion),102.00,553.92,5.431x,2.08,97.7%,0.0%,2.2%,0.0%,0.1%
ball.mp4,V3 Intra (IBC),102.00,1237.99,12.138x,1.87,97.3%,0.3%,0.0%,0.0%,2.3%
ball.mp4,V3 Hybrid (All Modes),102.00,551.21,5.404x,2.23,97.7%,0.7%,1.5%,0.0%,0.1%
countdown.mp4,V3 Baseline (Spatial),1519.32,756.05,0.498x,0.10,99.7%,0.0%,0.0%,0.0%,0.3%
countdown.mp4,V3 Inter (Deep Motion),1519.32,749.03,0.493x,0.11,99.7%,0.0%,0.0%,0.0%,0.3%
countdown.mp4,V3 Intra (IBC),1519.32,748.72,0.493x,0.10,99.7%,0.0%,0.0%,0.0%,0.2%
countdown.mp4,V3 Hybrid (All Modes),1519.32,741.09,0.488x,0.10,99.7%,0.0%,0.0%,0.1%,0.1%
