Video,Algorithm,Orig Size,Encoded,Ratio,MSE,Skip%,Intra%,Motion%,Solid%,Spatial%
01_ideal_motion.mp4,V3 Baseline (Spatial),81.27,57.12,0.703x,1.97,96.1,0.0,0.0,0.0,3.9
01_ideal_motion.mp4,V3 Deep Motion,81.27,22.54,0.277x,2.76,95.9,0.0,1.6,0.0,2.5
01_ideal_motion.mp4,V3 Solid Color,81.27,48.76,0.600x,0.60,98.2,0.0,0.0,0.2,1.5
01_ideal_motion.mp4,V3 DYNAMIC BOX (Merge),81.27,13.56,0.167x,1.37,94.1,0.0,5.0,0.9,0.0
01_ideal_motion.mp4,V3 BG Model (Sprite),81.27,13.56,0.167x,1.37,94.1,0.0,5.0,0.0,0.0
02_ideal_cache.mp4,V3 Baseline (Spatial),73.66,12.68,0.172x,0.07,99.1,0.0,0.0,0.0,0.9
02_ideal_cache.mp4,V3 Deep Motion,73.66,12.68,0.172x,0.07,99.1,0.0,0.0,0.0,0.9
02_ideal_cache.mp4,V3 Solid Color,73.66,7.74,0.105x,0.04,99.5,0.0,0.0,0.3,0.1
02_ideal_cache.mp4,V3 DYNAMIC BOX (Merge),73.66,7.57,0.103x,0.04,98.4,0.1,0.0,1.5,0.1
02_ideal_cache.mp4,V3 BG Model (Sprite),73.66,8.91,0.121x,0.02,97.3,0.0,0.0,1.4,0.0
03_ideal_palette.mp4,V3 Baseline (Spatial),72.55,3.64,0.050x,0.09,100.0,0.0,0.0,0.0,0.0
03_ideal_palette.mp4,V3 Deep Motion,72.55,3.64,0.050x,0.09,100.0,0.0,0.0,0.0,0.0
03_ideal_palette.mp4,V3 Solid Color,72.55,3.64,0.050x,0.09,100.0,0.0,0.0,0.0,0.0
03_ideal_palette.mp4,V3 DYNAMIC BOX (Merge),72.55,3.64,0.050x,0.09,100.0,0.0,0.0,0.0,0.0
03_ideal_palette.mp4,V3 BG Model (Sprite),72.55,4.62,0.064x,0.09,100.0,0.0,0.0,0.0,0.0
04_ideal_baseline.mp4,V3 Baseline (Spatial),268.01,4.96,0.019x,190.40,5.6,0.0,0.0,0.0,94.4
04_ideal_baseline.mp4,V3 Deep Motion,268.01,4.96,0.019x,190.40,5.6,0.0,0.0,0.0,94.4
04_ideal_baseline.mp4,V3 Solid Color,268.01,3.84,0.014x,0.10,20.2,0.0,0.0,79.8,0.0
04_ideal_baseline.mp4,V3 DYNAMIC BOX (Merge),268.01,2.80,0.010x,0.10,20.2,0.0,0.0,79.8,0.0
04_ideal_baseline.mp4,V3 BG Model (Sprite),268.01,2.83,0.011x,0.10,20.2,0.0,0.0,77.5,0.0
05_break_entropy.mp4,V3 Baseline (Spatial),7430.28,25272.94,3.401x,0.00,0.0,0.0,0.0,0.0,0.0
05_break_entropy.mp4,V3 Deep Motion,7430.28,25272.94,3.401x,0.00,0.0,0.0,0.0,0.0,0.0
05_break_entropy.mp4,V3 Solid Color,7430.28,25272.94,3.401x,0.00,0.0,0.0,0.0,0.0,0.0
05_break_entropy.mp4,V3 DYNAMIC BOX (Merge),7430.28,25272.94,3.401x,0.00,0.0,0.0,0.0,0.0,0.0
05_break_entropy.mp4,V3 BG Model (Sprite),7430.28,25468.48,3.428x,0.00,0.0,0.0,0.0,0.0,0.0
06_break_jitter.mp4,V3 Baseline (Spatial),97.41,22.06,0.226x,0.37,95.8,0.0,0.0,0.0,4.2
06_break_jitter.mp4,V3 Deep Motion,97.41,16.71,0.172x,0.12,95.5,0.0,3.4,0.0,1.1
06_break_jitter.mp4,V3 Solid Color,97.41,20.17,0.207x,0.26,95.8,0.0,0.0,0.8,3.4
06_break_jitter.mp4,V3 DYNAMIC BOX (Merge),97.41,6.59,0.068x,0.10,62.7,0.0,34.5,2.8,0.0
06_break_jitter.mp4,V3 BG Model (Sprite),97.41,6.91,0.071x,0.10,62.7,0.0,34.1,2.7,0.0
07_break_fade.mp4,V3 Baseline (Spatial),73.25,67.38,0.920x,5.55,94.0,0.0,0.0,0.0,6.0
07_break_fade.mp4,V3 Deep Motion,73.25,50.06,0.684x,4.88,93.5,0.0,1.1,0.0,5.3
07_break_fade.mp4,V3 Solid Color,73.25,45.20,0.617x,1.60,96.5,0.0,0.0,1.6,1.9
07_break_fade.mp4,V3 DYNAMIC BOX (Merge),73.25,34.03,0.465x,2.75,69.3,0.0,27.6,2.3,0.8
07_break_fade.mp4,V3 BG Model (Sprite),73.25,33.96,0.464x,2.73,69.3,0.0,27.6,1.4,0.8
08_break_moire.mp4,V3 Baseline (Spatial),713.31,2.79,0.004x,1.01,100.0,0.0,0.0,0.0,0.0
08_break_moire.mp4,V3 Deep Motion,713.31,2.79,0.004x,1.01,100.0,0.0,0.0,0.0,0.0
08_break_moire.mp4,V3 Solid Color,713.31,2.79,0.004x,1.01,100.0,0.0,0.0,0.0,0.0
08_break_moire.mp4,V3 DYNAMIC BOX (Merge),713.31,2.79,0.004x,1.01,100.0,0.0,0.0,0.0,0.0
